kind	x	y	z	block	meta	extra
block	3	-8	3	grass	0	-1
block	3	-8	4	grass	0	-1
block	3	-8	5	grass	0	-1
block	3	-8	6	grass	0	-1
block	3	-8	7	grass	0	-1
block	3	-8	8	grass	0	-1
block	3	-8	9	grass	0	-1
block	3	-8	10	grass	0	-1
block	3	-8	11	grass	0	-1
block	3	-8	12	grass	0	-1
block	3	-8	13	grass	0	-1
block	3	-8	14	grass	0	-1
block	3	-8	15	grass	0	-1
block	3	-8	16	grass	0	-1
block	3	-8	17	grass	0	-1
block	3	-8	18	grass	0	-1
block	3	-8	19	grass	0	-1
block	3	-8	20	grass	0	-1
block	3	-8	21	grass	0	-1
block	3	-8	22	grass	0	-1
block	4	-8	3	grass	0	-1
block	4	-8	4	grass	0	-1
block	4	-8	5	grass	0	-1
block	4	-8	6	grass	0	-1
block	4	-8	7	grass	0	-1
block	4	-8	8	grass	0	-1
block	4	-8	9	grass	0	-1
block	4	-8	10	grass	0	-1
block	4	-8	11	grass	0	-1
block	4	-8	12	grass	0	-1
block	4	-8	13	grass	0	-1
block	4	-8	14	grass	0	-1
block	4	-8	15	grass	0	-1
block	4	-8	16	grass	0	-1
block	4	-8	17	grass	0	-1
block	4	-8	18	grass	0	-1
block	4	-8	19	grass	0	-1
block	4	-8	20	grass	0	-1
block	4	-8	21	grass	0	-1
block	4	-8	22	grass	0	-1
block	5	-8	3	grass	0	-1
block	5	-8	4	grass	0	-1
block	5	-8	5	grass	0	-1
block	5	-8	6	grass	0	-1
block	5	-8	7	grass	0	-1
block	5	-8	8	grass	0	-1
block	5	-8	9	grass	0	-1
block	5	-8	10	grass	0	-1
block	5	-8	11	grass	0	-1
block	5	-8	12	grass	0	-1
block	5	-8	13	grass	0	-1
block	5	-8	14	grass	0	-1
block	5	-8	15	grass	0	-1
block	5	-8	16	grass	0	-1
block	5	-8	17	grass	0	-1
block	5	-8	18	grass	0	-1
block	5	-8	19	grass	0	-1
block	5	-8	20	grass	0	-1
block	5	-8	21	grass	0	-1
block	5	-8	22	grass	0	-1
block	6	-8	3	grass	0	-1
block	6	-8	4	grass	0	-1
block	6	-8	5	grass	0	-1
block	6	-8	6	grass	0	-1
block	6	-8	7	grass	0	-1
block	6	-8	8	grass	0	-1
block	6	-8	9	grass	0	-1
block	6	-8	10	grass	0	-1
block	6	-8	11	grass	0	-1
block	6	-8	12	grass	0	-1
block	6	-8	13	grass	0	-1
block	6	-8	14	grass	0	-1
block	6	-8	15	grass	0	-1
block	6	-8	16	grass	0	-1
block	6	-8	17	grass	0	-1
block	6	-8	18	grass	0	-1
block	6	-8	19	grass	0	-1
block	6	-8	20	grass	0	-1
block	6	-8	21	grass	0	-1
block	6	-8	22	grass	0	-1
block	7	-8	3	grass	0	-1
block	7	-8	4	grass	0	-1
block	7	-8	5	grass	0	-1
block	7	-8	6	grass	0	-1
block	7	-8	7	grass	0	-1
block	7	-8	8	grass	0	-1
block	7	-8	9	grass	0	-1
block	7	-8	10	grass	0	-1
block	7	-8	11	grass	0	-1
block	7	-8	12	grass	0	-1
block	7	-8	13	grass	0	-1
block	7	-8	14	grass	0	-1
block	7	-8	15	grass	0	-1
block	7	-8	16	grass	0	-1
block	7	-8	17	grass	0	-1
block	7	-8	18	grass	0	-1
block	7	-8	19	grass	0	-1
block	7	-8	20	grass	0	-1
block	7	-8	21	grass	0	-1
block	7	-8	22	grass	0	-1
block	8	-8	3	grass	0	-1
block	8	-8	4	grass	0	-1
block	8	-8	5	grass	0	-1
block	8	-8	6	grass	0	-1
